title,price
东直门簋街/工体/三里屯/南锣鼓巷一居,518
【三里屯】团结湖/太古里/工体旁安睡一居,438
北京鸟巢边上的家,396
奇幻暖屋COI国贸三里屯双井温馨舒适1居,468
【寒舍】鸟巢 水立方 奥林匹克 大一居,498
天安门故宫景点旅游度假无杂费两居,498
近鸟巢，安贞，对外经贸，5号线两居,400
【望京】将台路站/颐堤港旁马卡龙大床房,458
北京儿研所 国贸 天安门特色小屋,431
朝阳区国贸双井苹果社区北区精品三人间,508
回家公寓4*双大床房近故宫王府井协和医院,599
北京国贸CBD百子湾 赛洛城LOFT公寓,518
近望京鸟巢奥体立水桥南情调一居-浪漫小屋,468
青年路地铁6号线大悦城 探险之家 一居,468
地铁6号线青年路朝阳大悦城豪华舒适一居,398
沿海赛洛城x-box游戏主题房,398
鸟巢水立方/国家会议中心/临地铁站5号线,588
6号线青年路地铁口朝阳大悦城直达南锣鼓巷,368
酒仙桥798／地铁旁北欧风格豪华一居室,458
地铁直通国贸，天安门，传媒大学温馨两居室,398
运动员高档公寓,228
直达南锣鼓巷@朝阳大悦城@青年汇精致小窝,417
近硫璃厂老北京杂院,558
免费接或送机首都机场新国展地铁mini墅,418
密云休闲小筑家庭房,480
西站(茶贸中心/湾子地铁)阳光温馨一居室,296
方庄天坛崇文门五号线地铁二环边舒适一居,418
" 鸟巢国家会议中心中科院地铁15号北沙滩",418
【爱之家公寓】4号线生物医药基地舒适一居,358
天安门故宫附近,558
崇文门同仁医院 北京站 天安门—四季民宿,438
北京南站附近西单博爱医院4号线公益西桥3,379
国贸百子湾蓝色观景文艺loft,498
海淀上地圆明园颐和园百望山清华北大农大,438
自由空间,308
北苑会议中心、鸟巢，立水桥南站豪华大床,458
近天安门故宫天坛王府井，崇文门地铁旁套房,598
颐和园旁的温馨阳光房,390
对外经贸鸟巢大两居精装家庭民宿,578
望京SOHO美院凯德798一居长租,438
三元桥亮马桥地铁三里屯国贸速达南北通透,600
中日友好医院首都机场三元桥站温馨家庭套房,588
古北水镇长城源著的水镇蓝天,420
紧邻西站南站，中国戏曲学院，丽泽商务区内,408
世纪民宿免费车位紧邻6号线舒适一居采光棒,308
家原2号 近五颗松可加床 可做饭,388
【鸟巢水立方】马甸桥奥林匹克公园温馨大房,428
十里河，欢乐谷朝阳医院浪漫大两居,658
良乡大学城-时代广场-LoFt长短租,248
欧式精装二居近地铁5号10号线天坛天安门,598
达官营地铁-近天安门儿童医院北欧风一居室,488
三人间公寓亚运村5号线鸟巢国家会议中心,558
紧邻地铁南站西站近天安门 欧式房,409
【国贸CBD】建国门/超大两居室,558
近公益西桥地铁南站西单南苑机场带车位复式,498
亦庄线同济南路马驹桥合生世界花园LOFT,288
昕居民宿-北欧略影/近地铁/美院/阿里,439
方庄天坛北京南5、14号线北欧清新小家,528
豪华套房#良乡大学城理工睿府书香高级公寓,238
地铁9号七里庄天安门307医院精品两居,528
常营地铁常楹大厦公元自由派,258
望京私享个性大床房A,395
【名古屋】日式和风榻榻米 近国贸/大望路,498
冬至物语-近南站公益西桥地铁南苑机场,428
燕郊商场永旺梦乐城就在本公寓楼下，,179
