地区,名称,户型,面积,价格
东城,凯景铭座,4室1厅,178,22000
东城,雍和家园一期,3室2厅,202,25000
东城,国瑞城中区,5室2厅,344,50000
东城,富贵园三区,2室1厅,104,11500
东城,当代MOMA,5室2厅,331,60000
东城,宇飞大厦,2房间2卫,75,16800
东城,金桥国际,3室1厅,195,26000
东城,雍和家园二期,1室0厅,205,60000
东城,大羊宜宾胡同33号院,3室1厅,77,13800
东城,朝阳首府,4室2厅,253,50000
东城,凯德华玺,6房间4卫,252,45000
东城,禾风仕家,3室2厅,173,30000
东城,中景濠庭,4室1厅,191,30000
东城,太华公寓,3室1厅,221,24000
东城,盛德大厦,1室1厅,67,9500
东城,北官厅胡同2号院,3室0厅,56,6000
东城,京宝花园,3室1厅,194,24000
东城,正东国际大厦,3室1厅,210,30000
东城,当代MOMA,4室2厅,331,55000
东城,当代MOMA,3室1厅,182,35000
东城,朝阳门南小街,3室1厅,85,12000
东城,灵光东巷,9室1厅,122,50000
东城,水上华城,3室1厅,161,21000
东城,湖景苑,2室1厅,88,13000
东城,京香福苑,3室2厅,145,20000
东城,建国门北大街5号,4室1厅,277,47000
东城,兴隆都市馨园,1室0厅,28,5000
东城,中海紫御公馆,4室5厅,281,42000
东城,盛德大厦,4室2厅,207,28000
东城,民旺园,3室1厅,65,7700
东城,永康胡同5号院,2室1厅,57,8300
东城,东环居苑,3室1厅,101,9000
东城,西革新里112号院,2室2厅,89,7800
东城,国瑞城西区,4室2厅,258,38000
东城,东花市北里西区,2室1厅,60,7000
东城,太华公寓,2室1厅,150,18000
东城,贡院九号,2室2厅,159,27000
东城,盛德大厦,3室1厅,144,19999
东城,美术馆后街,3室1厅,76,12000
东城,安化南里,1室1厅,60,5500
东城,新太仓一巷,6室0厅,103,45000
东城,恒基中心,3室2厅,168,20000
东城,安定路,2室1厅,59,6900
东城,北总布胡同,1室1厅,51,5000
东城,织染局胡同,5室0厅,43,30000
东城,建国门北大街5号,3室2厅,191,28000
东城,东总布胡同19号院,2室1厅,64,7500
东城,使馆壹号院,4室2厅,273,130000
东城,雅安国际公寓,3室1厅,163,21000
东城,当代MOMA,4室2厅,290,50000
东城,当代MOMA,4室2厅,290,55000
东城,太华公寓,2室2厅,152,17000
东城,新奥洋房,1室1厅,42,5200
东城,盛德大厦,1室1厅,78,13000
