title,digest,url,date,author,mid
早知天下事,○习近平在参观“砥砺奋进的五年”大型成就展时强调，为实现中华民族伟大复兴的中国梦继续奋斗。\n○中央首次出台文件聚焦企业家精神。\n○安倍晋三决定提前大选。,http://mp.weixin.qq.com/s?__biz=MzA4NDI3NjcyNA==&amp;mid=2649365281&amp;idx=1&amp;sn=69eefb4aa48e84e9043e3c90cda5978c&amp;chksm=87f71fbab08096accfe2a912b9e98a46b57ad4d1c27c636f37d4005597f3cfdf0423fdfc3eb9&amp;scene=27#wechat_redirect,2017-09-26 05:42:27,0,2649365281
还在担心个人信息被收集？这些APP可&quot;一站式&quot;撤回授权了,用户的“同意”，不代表企业能放松对个人信息的保护！,http://mp.weixin.qq.com/s?__biz=MzA4NDI3NjcyNA==&amp;mid=2649365229&amp;idx=1&amp;sn=055cb50d257a1ceedd4ec438c501b8c2&amp;chksm=87f71e76b0809760858c5410055daba0e4723f58eeb50e5d89107f250c449414ae8b2f8b7a80&amp;scene=27#wechat_redirect,2017-09-25 15:39:51,0,2649365229
中央发文了！教师的平均工资不得低于当地公务员,化解择校难题、探索实行弹性离校时间、确保教师平均工资水平不低于或高于当地公务员……,http://mp.weixin.qq.com/s?__biz=MzA4NDI3NjcyNA==&amp;mid=2649365209&amp;idx=1&amp;sn=86db34988489cc9b2c55b9ad4cc9339e&amp;chksm=87f71e42b08097547bec265691af8afd8e2b5cf15356dde3e3196bb60e5191fffded3404a142&amp;scene=27#wechat_redirect,2017-09-25 11:45:29,0,2649365209
满满都是爱！72岁姥姥手写6页家书叮嘱外孙,感动了众多网友,http://mp.weixin.qq.com/s?__biz=MzA4NDI3NjcyNA==&amp;mid=2649365175&amp;idx=1&amp;sn=3756ee86a34030de35caeb83a1d29b66&amp;chksm=87f71e2cb080973a6320eb6735b6fbb782509303169e92d035d7b247ab5af7366fa3473d7b5a&amp;scene=27#wechat_redirect,2017-09-25 07:55:32,0,2649365175
今天，安倍决定提前大选,这是一件大事！,http://mp.weixin.qq.com/s?__biz=MzA4NDI3NjcyNA==&amp;mid=2649365264&amp;idx=1&amp;sn=f479c94465a9523304fdc4aa54b3f5b5&amp;chksm=87f71f8bb080969d7d08f996b701d09ee3125b6b2bbe9c96ec3511b45d3e2d59367ddabd6b71&amp;scene=27#wechat_redirect,2017-09-25 19:01:35,0,2649365264
早知天下事,○中办、国办印发《关于深化教育体制机制改革的意见》。\n○美军多架战略轰炸机在战斗机的护航下至朝鲜以东水域上空飞行。\n○2018考研网上预报名24日开始。,http://mp.weixin.qq.com/s?__biz=MzA4NDI3NjcyNA==&amp;mid=2649365174&amp;idx=1&amp;sn=a4f13604f8cf79ac803d5a940b791ce1&amp;chksm=87f71e2db080973b7e87de791664be2e42ad13cd98b378607408d31e6ed2349eb1fa89083b92&amp;scene=27#wechat_redirect,2017-09-25 05:49:20,0,2649365174
夜读丨懂得低头，才能看清自己脚下的路,低头不是无原则的妥协和迁就，而是理智的谦让和迂回。,http://mp.weixin.qq.com/s?__biz=MzA4NDI3NjcyNA==&amp;mid=2649365161&amp;idx=1&amp;sn=2d193493f894ab11513552050f114155&amp;chksm=87f71e32b080972430ed089dc38c930fbeb1ab5a32ae05a713d0dd10cd2e8a5493989a2eca09&amp;scene=27#wechat_redirect,2017-09-24 21:24:27,0,2649365161
夜读丨你要努力往前走，也要允许自己慢慢来,只要努力的方向对，你想要的总会呈现在你眼前。,http://mp.weixin.qq.com/s?__biz=MzA4NDI3NjcyNA==&amp;mid=2649365275&amp;idx=1&amp;sn=bbc04b9c41c949b6a4077f7c9fb9ac37&amp;chksm=87f71f80b08096963f355dde9aa1ebc67f62d79d3251895783297c26dddc9f9cb0ea27d54dd3&amp;scene=27#wechat_redirect,2017-09-25 21:40:57,0,2649365275
每一位烈士都应被铭记！83年了，我们从没忘记你们,今天，让烈士入土为安,http://mp.weixin.qq.com/s?__biz=MzA4NDI3NjcyNA==&amp;mid=2649365130&amp;idx=1&amp;sn=fb9488fc6f5ccea1a89488facb0aae07&amp;chksm=87f71e11b0809707677e31148a3ef835fb76b426ccd7386ff294acd3ed6edb68d0dafbee1190&amp;scene=27#wechat_redirect,2017-09-24 19:14:57," ",2649365130
天津原市长黄兴国一审被判有期徒刑十二年,反腐永远在路上！,http://mp.weixin.qq.com/s?__biz=MzA4NDI3NjcyNA==&amp;mid=2649365248&amp;idx=1&amp;sn=96a22b5f44c99752ecaf7bf1584c8515&amp;chksm=87f71f9bb080968dba461eb5434bb6ce0f6ca7133e5a23694b6e4a598afbcc5ea68d01586e9e&amp;scene=27#wechat_redirect,2017-09-25 17:29:11,0,2649365248
